little pipes no enemies little blocks low elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_32.txt,2.748773578562579,0.82,1,1.0,81.155415,10,1.0
little pipes no enemies little blocks high elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_33.txt,2.560295728550814,0.77,1,1.0,97.84421,10,1.0
little pipes no enemies some blocks low elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_34.txt,2.2142602938644402,0.66,1,1.0,82.261115,-10,0.0
little pipes no enemies some blocks high elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_35.txt,0.13985457345644625,0.04,1,1.0,103.460575,10,1.0
little pipes no enemies many blocks low elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_36.txt,0.7584340156258993,0.23,1,1.0,67.0820375,-60,0.0
little pipes no enemies many blocks high elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_37.txt,1.0043073532181663,0.3,1,1.0,125.94088,-30,0.0
little pipes little enemies little blocks low elevation,1400,2.5,1725220110139,../sampling/generated_level/generated_level_1725220110139_38.txt,4.039826806127182,1.0,1,1.0,102.72229,10,1.0
little pipes little enemies little blocks high elevation,1400,2.5,1725220110140,../sampling/generated_level/generated_level_1725220110140_39.txt,3.632103537719761,1.0,-100,0.0,0.0,-60,0.0
little pipes little enemies some blocks low elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_40.txt,3.5017133984808098,1.0,1,1.0,59.07357,-10,0.0
little pipes little enemies some blocks high elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_41.txt,1.7265111040677774,0.52,1,1.0,76.39558,10,1.0
little pipes little enemies many blocks low elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_42.txt,1.0344559657265673,0.31,1,1.0,84.8177,-20,0.0
little pipes little enemies many blocks high elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_43.txt,0.7383144014881114,0.22,-100,0.0,67.15016,-100,0.0
little pipes some enemies little blocks low elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_44.txt,3.7956530575241874,1.0,-100,0.0,76.596985,-30,0.0
little pipes some enemies little blocks high elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_45.txt,2.553053097634579,0.77,1,1.0,88.6082,10,1.0
little pipes some enemies some blocks low elevation,1400,2.5,1725220177684,../sampling/generated_level/generated_level_1725220177684_46.txt,3.151057974577551,1.0,1,1.0,119.2324,10,1.0
little pipes some enemies some blocks high elevation,1400,2.5,1725220177685,../sampling/generated_level/generated_level_1725220177685_47.txt,3.2401583874156312,1.0,1,1.0,93.009785,10,1.0
little pipes some enemies many blocks low elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_48.txt,1.3216106140526946,0.4,1,1.0,93.01894,-10,0.0
little pipes some enemies many blocks high elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_49.txt,1.5729264559320488,0.47,1,1.0,70.004255,-20,0.0
little pipes many enemies little blocks low elevation,1400,2.5,1725220245201,../sampling/generated_level/generated_level_1725220245201_50.txt,2.8720380229453344,0.86,-100,0.0,0.0,10,1.0
