prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_0.txt,1.5,0.45,1,1.0,61.63899,10,1.0
no pipes no enemies little blocks high elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_1.txt,1.5919160294095192,0.48,1,1.0,69.46451499999999,10,1.0
no pipes no enemies little blocks low elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_2.txt,-1.0,0,1,1.0,63.540980000000005,10,1.0
no pipes no enemies little blocks high elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_3.txt,1.25,0.38,1,1.0,68.49092,-20,0.0
no pipes no enemies some blocks low elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_4.txt,-1.0,0,1,1.0,84.36549000000001,10,1.0
no pipes no enemies some blocks high elevation,700,1.5,1727194012594,../sampling/generated_level/generated_level_1727194012594_5.txt,-1.0,0,1,1.0,65.79438,10,1.0
no pipes no enemies many blocks low elevation,700,1.5,1727194012595,../sampling/generated_level/generated_level_1727194012595_6.txt,-0.24624903425042466,0,1,1.0,42.289559999999994,10,1.0
no pipes no enemies many blocks high elevation,700,1.5,1727194012595,../sampling/generated_level/generated_level_1727194012595_7.txt,-0.43015453026362904,0,1,1.0,65.43972,10,1.0
no pipes little enemies little blocks low elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_8.txt,0.9872127954004921,0.3,1,1.0,75.08921999999998,10,1.0
no pipes little enemies little blocks high elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_9.txt,1.1712647438467536,0.35,1,1.0,92.949705,10,1.0
no pipes little enemies little blocks low elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_10.txt,1.1699250014423126,0.35,1,1.0,74.451245,10,1.0
no pipes little enemies little blocks high elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_11.txt,2.6618634450393417,0.8,-100,0.0,74.24560000000001,10,1.0
no pipes little enemies some blocks low elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_12.txt,0.5473984549281355,0.16,1,1.0,57.347772,10,1.0
no pipes little enemies some blocks high elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_13.txt,-1.0,0,1,1.0,75.22864499999999,10,1.0
no pipes little enemies many blocks low elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_14.txt,1.230622115360096,0.37,1,1.0,91.53181,10,1.0
no pipes little enemies many blocks high elevation,700,1.5,1727194034526,../sampling/generated_level/generated_level_1727194034526_15.txt,-0.3224216091975505,0,1,1.0,48.80329,10,1.0
