prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_0.txt,2.8294635355500266,0.85,-100,0.0,67.57759,-10,0.0
no pipes no enemies little blocks high elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_1.txt,0.8399495878860579,0.25,-100,0.0,61.859235,10,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_2.txt,3.0413670677208664,1.0,1,1.0,109.53897500000001,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_3.txt,2.371816539556299,0.71,-100,0.0,68.741205,-20,0.0
no pipes no enemies some blocks low elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_4.txt,1.6926241232962145,0.51,1,1.0,86.61381,10,1.0
no pipes no enemies some blocks high elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_5.txt,3.841970504917237,1.0,1,1.0,137.71771,10,1.0
no pipes no enemies many blocks low elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_6.txt,-0.07310317465133032,0,-100,0.0,71.09616,-20,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726927392885,../sampling/generated_level/generated_level_1726927392885_7.txt,0.5706662728459001,0.17,1,1.0,118.52249,-80,0.0
no pipes little enemies little blocks low elevation,1400,2.5,1726927460326,../sampling/generated_level/generated_level_1726927460326_8.txt,1.666945111674891,0.5,1,1.0,101.875535,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_9.txt,2.2700531823658436,0.68,-100,0.0,70.46575999999999,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_10.txt,4.3071192372267735,1.0,1,1.0,75.637545,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_11.txt,2.0005747619386454,0.6,1,1.0,126.347155,-30,0.0
no pipes little enemies some blocks low elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_12.txt,2.355756968618571,0.71,1,1.0,80.15875,10,1.0
no pipes little enemies some blocks high elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_13.txt,2.4313628388265887,0.73,1,1.0,60.821045,10,1.0
no pipes little enemies many blocks low elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_14.txt,1.11806329464001,0.34,1,1.0,78.17163,-10,0.0
no pipes little enemies many blocks high elevation,1400,2.5,1726927460327,../sampling/generated_level/generated_level_1726927460327_15.txt,1.6219103540378628,0.49,-100,0.0,69.84698999999999,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726927527967,../sampling/generated_level/generated_level_1726927527967_16.txt,2.581726527151253,0.77,1,1.0,91.02780999999999,-40,0.0
no pipes some enemies little blocks high elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_17.txt,3.5628934991670547,1.0,1,1.0,100.49872,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_18.txt,2.7642792867891925,0.83,1,1.0,87.055445,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_19.txt,2.8986261254106434,0.87,1,1.0,87.338635,10,1.0
no pipes some enemies some blocks low elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_20.txt,1.3675923188077803,0.41,1,1.0,90.74671000000001,-10,0.0
no pipes some enemies some blocks high elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_21.txt,1.53292899033897,0.46,1,1.0,91.69147500000001,10,1.0
no pipes some enemies many blocks low elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_22.txt,3.2534992895525483,1.0,1,1.0,92.46464,10,1.0
no pipes some enemies many blocks high elevation,1400,2.5,1726927527968,../sampling/generated_level/generated_level_1726927527968_23.txt,0.6402339723413562,0.19,-100,0.0,84.03708,-20,0.0
no pipes many enemies little blocks low elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_24.txt,1.3373878701029378,0.4,-100,0.0,62.793479999999995,-10,0.0
no pipes many enemies little blocks high elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_25.txt,3.2848975938853417,1.0,-100,0.0,0.0,10,1.0
no pipes many enemies little blocks low elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_26.txt,2.677195679448128,0.8,1,1.0,84.94342,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_27.txt,0.7568925022902082,0.23,-100,0.0,0.0,-20,0.0
no pipes many enemies some blocks low elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_28.txt,3.0193340618954387,1.0,1,1.0,93.01603,10,1.0
no pipes many enemies some blocks high elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_29.txt,1.561797640126168,0.47,1,1.0,178.46344,10,1.0
no pipes many enemies many blocks low elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_30.txt,0.5984531069357621,0.18,-100,0.0,79.74367500000001,-10,0.0
no pipes many enemies many blocks high elevation,1400,2.5,1726927595776,../sampling/generated_level/generated_level_1726927595776_31.txt,-0.07281352094874405,0,-100,0.0,85.45290500000002,-20,0.0
