prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_0.txt,2.7712413290301834,0.83,1,1.0,65.52816,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_1.txt,0,0.0,-100,0.0,68.61859,10,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_2.txt,2.027266810179813,0.61,1,1.0,64.19774,-20,0.0
no pipes no enemies little blocks high elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_3.txt,3.6785833239665977,1.0,1,1.0,87.406605,-20,0.0
no pipes no enemies some blocks low elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_4.txt,2.882654289765241,0.86,-100,0.0,0.0,-10,0.0
no pipes no enemies some blocks high elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_5.txt,-0.2789984267529878,0,-100,0.0,70.84684,10,1.0
no pipes no enemies many blocks low elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_6.txt,2.952850082229415,0.89,1,1.0,94.06803,10,1.0
no pipes no enemies many blocks high elevation,1400,2.5,1726864791933,../sampling/generated_level/generated_level_1726864791933_7.txt,1.5320620802859573,0.46,1,1.0,88.57193500000001,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726864859005,../sampling/generated_level/generated_level_1726864859005_8.txt,2.4706348703969745,0.74,1,1.0,74.51871500000001,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_9.txt,2.860577812199656,0.86,-100,0.0,0.0,-30,0.0
no pipes little enemies little blocks low elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_10.txt,2.8483798771737145,0.85,1,1.0,84.474305,-10,0.0
no pipes little enemies little blocks high elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_11.txt,0.5246692737065228,0.16,1,1.0,82.53566500000001,10,1.0
no pipes little enemies some blocks low elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_12.txt,2.8708530672262174,0.86,1,1.0,111.09383500000001,10,1.0
no pipes little enemies some blocks high elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_13.txt,1.7821025861794895,0.53,1,1.0,70.931195,10,1.0
no pipes little enemies many blocks low elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_14.txt,3.4177311940131045,1.0,-100,0.0,90.76567499999999,10,1.0
no pipes little enemies many blocks high elevation,1400,2.5,1726864859006,../sampling/generated_level/generated_level_1726864859006_15.txt,1.0651817370884653,0.32,1,1.0,120.85504,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_16.txt,3.649783990638346,1.0,1,1.0,115.990585,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_17.txt,3.5561718739811825,1.0,1,1.0,150.76179,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_18.txt,3.376640329582107,1.0,1,1.0,90.593605,-40,0.0
no pipes some enemies little blocks high elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_19.txt,2.3496584895448427,0.7,-100,0.0,69.435755,-40,0.0
no pipes some enemies some blocks low elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_20.txt,2.1623821249559194,0.65,1,1.0,79.63126000000001,-10,0.0
no pipes some enemies some blocks high elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_21.txt,1.1477999012005473,0.34,1,1.0,87.42926,10,1.0
no pipes some enemies many blocks low elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_22.txt,1.3916122950654302,0.42,1,1.0,90.11588499999999,10,1.0
no pipes some enemies many blocks high elevation,1400,2.5,1726864926335,../sampling/generated_level/generated_level_1726864926335_23.txt,3.9852417085802916,1.0,1,1.0,128.39314000000002,10,1.0
no pipes many enemies little blocks low elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_24.txt,3.520586277688806,1.0,1,1.0,76.29791999999999,-10,0.0
no pipes many enemies little blocks high elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_25.txt,0.5579975889754001,0.17,-100,0.0,0.2,-60,0.0
no pipes many enemies little blocks low elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_26.txt,2.293744713777367,0.69,1,1.0,87.58362,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_27.txt,3.7614240111779944,1.0,1,1.0,96.652,10,1.0
no pipes many enemies some blocks low elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_28.txt,3.7609869231893973,1.0,1,1.0,89.96934,-20,0.0
no pipes many enemies some blocks high elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_29.txt,2.7041596169842537,0.81,1,1.0,101.56795000000001,-20,0.0
no pipes many enemies many blocks low elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_30.txt,0.4959209600219521,0.15,1,1.0,68.90493000000001,-30,0.0
no pipes many enemies many blocks high elevation,1400,2.5,1726864993760,../sampling/generated_level/generated_level_1726864993760_31.txt,0.7341285670520677,0.22,1,1.0,94.81354499999999,10,1.0
little pipes no enemies little blocks low elevation,1400,2.5,1726865061236,../sampling/generated_level/generated_level_1726865061236_32.txt,2.7846196885400185,0.84,-100,0.0,83.125625,-20,0.0
little pipes no enemies little blocks high elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_33.txt,3.362734182452159,1.0,1,1.0,86.48391000000001,10,1.0
little pipes no enemies some blocks low elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_34.txt,3.277520011219173,1.0,1,1.0,123.033095,10,1.0
little pipes no enemies some blocks high elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_35.txt,2.7744826533807982,0.83,1,1.0,103.59281500000002,10,1.0
little pipes no enemies many blocks low elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_36.txt,1.8662986830718524,0.56,-100,0.0,75.33124,-20,0.0
little pipes no enemies many blocks high elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_37.txt,0.978426387271734,0.29,-100,0.0,84.13626500000001,-30,0.0
little pipes little enemies little blocks low elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_38.txt,3.16491177186628,1.0,1,1.0,76.30887499999999,10,1.0
little pipes little enemies little blocks high elevation,1400,2.5,1726865061237,../sampling/generated_level/generated_level_1726865061237_39.txt,3.287476896981185,1.0,-100,0.0,0.0,10,1.0
little pipes little enemies some blocks low elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_40.txt,3.5177869087310807,1.0,-100,0.0,133.23114999999999,-10,0.0
little pipes little enemies some blocks high elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_41.txt,2.961183121005836,0.89,1,1.0,117.390575,10,1.0
little pipes little enemies many blocks low elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_42.txt,0.9666965945286123,0.29,1,1.0,85.77181000000002,10,1.0
little pipes little enemies many blocks high elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_43.txt,1.8746170430251374,0.56,1,1.0,81.10489000000001,-80,0.0
little pipes some enemies little blocks low elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_44.txt,3.52227107355403,1.0,-100,0.0,0.0,10,1.0
little pipes some enemies little blocks high elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_45.txt,3.588318103735865,1.0,1,1.0,81.6124,-70,0.0
little pipes some enemies some blocks low elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_46.txt,1.8389730862784313,0.55,1,1.0,88.300025,-20,0.0
little pipes some enemies some blocks high elevation,1400,2.5,1726865128691,../sampling/generated_level/generated_level_1726865128691_47.txt,3.1790441983125373,1.0,-100,0.0,92.813885,-10,0.0
little pipes some enemies many blocks low elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_48.txt,0.9532311866794105,0.29,1,1.0,181.30497,-30,0.0
little pipes some enemies many blocks high elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_49.txt,1.0015573004051967,0.3,-100,0.0,63.391295,-30,0.0
little pipes many enemies little blocks low elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_50.txt,2.8210757577281895,0.85,1,1.0,72.69023499999999,10,1.0
little pipes many enemies little blocks high elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_51.txt,0.7291877198236139,0.22,-100,0.0,70.82620499999999,-100,0.0
little pipes many enemies some blocks low elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_52.txt,3.3587102941028846,1.0,-100,0.0,84.01105,10,1.0
little pipes many enemies some blocks high elevation,1400,2.5,1726865196160,../sampling/generated_level/generated_level_1726865196160_53.txt,1.4037390852659941,0.42,1,1.0,63.793409999999994,-20,0.0
little pipes many enemies many blocks low elevation,1400,2.5,1726865196161,../sampling/generated_level/generated_level_1726865196161_54.txt,0.17190409956968822,0.05,-100,0.0,87.559685,-30,0.0
little pipes many enemies many blocks high elevation,1400,2.5,1726865196161,../sampling/generated_level/generated_level_1726865196161_55.txt,1.5202419447790942,0.46,-100,0.0,123.24034,-80,0.0
some pipes no enemies little blocks low elevation,1400,2.5,1726865263630,../sampling/generated_level/generated_level_1726865263630_56.txt,3.3658482095869644,1.0,-100,0.0,0.2,10,1.0
some pipes no enemies little blocks high elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_57.txt,2.7709612599929865,0.83,1,1.0,80.20168,10,1.0
some pipes no enemies some blocks low elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_58.txt,2.2066946483379635,0.66,1,1.0,75.86916,10,1.0
some pipes no enemies some blocks high elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_59.txt,2.702506665784042,0.81,1,1.0,90.803715,10,1.0
some pipes no enemies many blocks low elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_60.txt,2.3077233571773856,0.69,-100,0.0,81.25304500000001,10,1.0
some pipes no enemies many blocks high elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_61.txt,1.1171409389389062,0.34,-100,0.0,102.58904,10,1.0
some pipes little enemies little blocks low elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_62.txt,3.0157455900553236,1.0,1,1.0,178.05919,-10,0.0
some pipes little enemies little blocks high elevation,1400,2.5,1726865263631,../sampling/generated_level/generated_level_1726865263631_63.txt,2.9308640769287164,0.88,1,1.0,111.23556,-30,0.0
some pipes little enemies some blocks low elevation,1400,2.5,1726865331120,../sampling/generated_level/generated_level_1726865331120_64.txt,2.6084301085653605,0.78,1,1.0,89.67429,10,1.0
some pipes little enemies some blocks high elevation,1400,2.5,1726865331120,../sampling/generated_level/generated_level_1726865331120_65.txt,2.7191102334606088,0.82,-100,0.0,63.94098,10,1.0
some pipes little enemies many blocks low elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_66.txt,1.3602147703262066,0.41,1,1.0,62.501587,-20,0.0
some pipes little enemies many blocks high elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_67.txt,2.3746516975522165,0.71,1,1.0,84.08012,-70,0.0
some pipes some enemies little blocks low elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_68.txt,2.309534718057463,0.69,1,1.0,97.18764999999999,10,1.0
some pipes some enemies little blocks high elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_69.txt,3.520653277283657,1.0,1,1.0,85.65692500000002,-30,0.0
some pipes some enemies some blocks low elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_70.txt,3.00572822460546,1.0,1,1.0,79.201095,-10,0.0
some pipes some enemies some blocks high elevation,1400,2.5,1726865331121,../sampling/generated_level/generated_level_1726865331121_71.txt,3.4138389254742645,1.0,1,1.0,90.31099,-10,0.0
some pipes some enemies many blocks low elevation,1400,2.5,1726865398631,../sampling/generated_level/generated_level_1726865398631_72.txt,2.411281068827958,0.72,1,1.0,160.4057,-10,0.0
some pipes some enemies many blocks high elevation,1400,2.5,1726865398631,../sampling/generated_level/generated_level_1726865398631_73.txt,1.6688663415170328,0.5,-100,0.0,0.0,-80,0.0
some pipes many enemies little blocks low elevation,1400,2.5,1726865398631,../sampling/generated_level/generated_level_1726865398631_74.txt,1.4409271350926698,0.43,1,1.0,51.241865000000004,10,1.0
some pipes many enemies little blocks high elevation,1400,2.5,1726865398631,../sampling/generated_level/generated_level_1726865398631_75.txt,2.7805608417966,0.83,1,1.0,102.373625,-10,0.0
some pipes many enemies some blocks low elevation,1400,2.5,1726865398631,../sampling/generated_level/generated_level_1726865398631_76.txt,0.4736692931451001,0.14,-100,0.0,84.35541500000001,-20,0.0
some pipes many enemies some blocks high elevation,1400,2.5,1726865398632,../sampling/generated_level/generated_level_1726865398632_77.txt,2.2497570550509236,0.67,-100,0.0,72.35906200000001,-30,0.0
some pipes many enemies many blocks low elevation,1400,2.5,1726865398632,../sampling/generated_level/generated_level_1726865398632_78.txt,1.9200640121129497,0.58,1,1.0,64.259925,-40,0.0
some pipes many enemies many blocks high elevation,1400,2.5,1726865398632,../sampling/generated_level/generated_level_1726865398632_79.txt,1.427473553275072,0.43,1,1.0,193.905065,-60,0.0
many pipes no enemies little blocks low elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_80.txt,2.292625830755642,0.69,1,1.0,77.070055,10,1.0
many pipes no enemies little blocks high elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_81.txt,2.0436161773654646,0.61,1,1.0,106.775665,10,1.0
many pipes no enemies some blocks low elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_82.txt,2.2612708754241426,0.68,1,1.0,86.88606,10,1.0
many pipes no enemies some blocks high elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_83.txt,2.6336367335106443,0.79,1,1.0,95.87215499999999,-80,0.0
many pipes no enemies many blocks low elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_84.txt,2.6540501841709303,0.8,1,1.0,80.65935,10,1.0
many pipes no enemies many blocks high elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_85.txt,2.088921471593494,0.63,1,1.0,100.74844999999999,-20,0.0
many pipes little enemies little blocks low elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_86.txt,2.6616725712212252,0.8,-100,0.0,73.848415,-70,0.0
many pipes little enemies little blocks high elevation,1400,2.5,1726865466117,../sampling/generated_level/generated_level_1726865466117_87.txt,2.9140153424753543,0.87,1,1.0,96.73567,10,1.0
many pipes little enemies some blocks low elevation,1400,2.5,1726865533587,../sampling/generated_level/generated_level_1726865533587_88.txt,2.4778807896218957,0.74,1,1.0,104.62033500000001,10,1.0
many pipes little enemies some blocks high elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_89.txt,2.711883409124889,0.81,1,1.0,75.79977,-10,0.0
many pipes little enemies many blocks low elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_90.txt,2.761470389572948,0.83,1,1.0,76.390405,10,1.0
many pipes little enemies many blocks high elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_91.txt,2.7669897136043797,0.83,-100,0.0,0.2,-100,0.0
many pipes some enemies little blocks low elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_92.txt,2.243492805366019,0.67,1,1.0,76.28787999999999,-10,0.0
many pipes some enemies little blocks high elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_93.txt,2.1959942640810293,0.66,1,1.0,73.28343499999998,-20,0.0
many pipes some enemies some blocks low elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_94.txt,3.051471448308744,1.0,1,1.0,117.88826499999999,10,1.0
many pipes some enemies some blocks high elevation,1400,2.5,1726865533588,../sampling/generated_level/generated_level_1726865533588_95.txt,2.4934152966137644,0.75,1,1.0,104.117025,-30,0.0
many pipes some enemies many blocks low elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_96.txt,2.735265585388743,0.82,1,1.0,101.54558,10,1.0
many pipes some enemies many blocks high elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_97.txt,3.3688008078088902,1.0,-100,0.0,0.0,-20,0.0
many pipes many enemies little blocks low elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_98.txt,3.018937897999587,1.0,-100,0.0,0.0,10,1.0
many pipes many enemies little blocks high elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_99.txt,3.1900426603316974,1.0,1,1.0,104.514335,10,1.0
many pipes many enemies some blocks low elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_100.txt,2.71457272874481,0.81,-100,0.0,173.94099,-50,0.0
many pipes many enemies some blocks high elevation,1400,2.5,1726865601020,../sampling/generated_level/generated_level_1726865601020_101.txt,3.8653505585268424,1.0,1,1.0,81.98835500000001,-20,0.0
many pipes many enemies many blocks low elevation,1400,2.5,1726865601021,../sampling/generated_level/generated_level_1726865601021_102.txt,1.884248618474496,0.57,-100,0.0,17.059380500000003,-60,0.0
