no pipes no enemies little blocks high elevation,1400,2.5,1720438614575,../sampling/generated_level/generated_level_1720438614575_10.txt,3.404473642337156,1.0,1,1.0,123.15663,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720438721545,../sampling/generated_level/generated_level_1720438721545_11.txt,4.067389939125684,1.0,1,1.0,106.64465,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720438828574,../sampling/generated_level/generated_level_1720438828574_12.txt,1.5602113644563484,0.47,1,1.0,103.719215,10,1.0,0.89
no pipes no enemies little blocks high elevation,1400,2.5,1720438935554,../sampling/generated_level/generated_level_1720438935554_13.txt,3.2041813497117,1.0,-100,0.0,0.0,-10,0.0,0.2
no pipes no enemies little blocks high elevation,1400,2.5,1720439042516,../sampling/generated_level/generated_level_1720439042516_14.txt,3.555103248511392,1.0,1,1.0,99.50388,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720439149582,../sampling/generated_level/generated_level_1720439149582_15.txt,1.2522202538208598,0.38,1,1.0,103.702435,10,1.0,0.88
no pipes no enemies little blocks high elevation,1400,2.5,1720439256875,../sampling/generated_level/generated_level_1720439256875_16.txt,2.3248701726889385,0.7,1,1.0,69.41123499999999,10,1.0,0.94
no pipes no enemies little blocks high elevation,1400,2.5,1720439363840,../sampling/generated_level/generated_level_1720439363840_17.txt,2.1699250014423126,0.65,-100,0.0,58.6588875,-20,0.0,0.13
no pipes no enemies little blocks high elevation,1400,2.5,1720439470765,../sampling/generated_level/generated_level_1720439470765_18.txt,2.416301233456413,0.72,-100,0.0,84.27757,10,1.0,0.34
no pipes no enemies little blocks high elevation,1400,2.5,1720439579076,../sampling/generated_level/generated_level_1720439579076_19.txt,1.098665140082769,0.33,1,1.0,100.91448,10,1.0,0.87
no pipes no enemies little blocks low elevation,1400,2.5,1720439689580,../sampling/generated_level/generated_level_1720439689580_0.txt,0.0,0.0,-100,0.0,79.55469,10,1.0,0.2
no pipes no enemies little blocks low elevation,1400,2.5,1720439796574,../sampling/generated_level/generated_level_1720439796574_1.txt,4.0937475146918985,1.0,1,1.0,93.17069,10,1.0,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1720439903641,../sampling/generated_level/generated_level_1720439903641_2.txt,3.8834719308333785,1.0,1,1.0,102.34297,-60,0.0,0.8
no pipes no enemies little blocks low elevation,1400,2.5,1720440010648,../sampling/generated_level/generated_level_1720440010648_3.txt,2.3290494146685194,0.7,1,1.0,77.51964000000001,-20,0.0,0.74
no pipes no enemies little blocks low elevation,1400,2.5,1720440117555,../sampling/generated_level/generated_level_1720440117555_4.txt,2.798285534422339,0.84,1,1.0,121.116085,10,1.0,0.97
no pipes no enemies little blocks low elevation,1400,2.5,1720440224500,../sampling/generated_level/generated_level_1720440224500_5.txt,2.6836189765874776,0.81,1,1.0,99.493785,10,1.0,0.96
no pipes no enemies little blocks low elevation,1400,2.5,1720440331408,../sampling/generated_level/generated_level_1720440331408_6.txt,1.645926548164837,0.49,1,1.0,93.14817,10,1.0,0.9
no pipes no enemies little blocks low elevation,1400,2.5,1720440438419,../sampling/generated_level/generated_level_1720440438419_7.txt,2.598551656816677,0.78,1,1.0,93.168525,10,1.0,0.96
no pipes no enemies little blocks low elevation,1400,2.5,1720440545391,../sampling/generated_level/generated_level_1720440545391_8.txt,2.21723638715927,0.67,1,1.0,75.645365,10,1.0,0.93
no pipes no enemies little blocks low elevation,1400,2.5,1720440652364,../sampling/generated_level/generated_level_1720440652364_9.txt,1.7146411515732622,0.51,1,1.0,87.91793,-10,0.0,0.7
no pipes no enemies little blocks low elevation,1400,2.5,1720440759716,../sampling/generated_level/generated_level_1720440759716_10.txt,3.738189568171921,1.0,1,1.0,82.555995,10,1.0,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1720440867114,../sampling/generated_level/generated_level_1720440867114_11.txt,3.591652450719037,1.0,1,1.0,76.10887499999998,-40,0.0,0.8
no pipes no enemies little blocks low elevation,1400,2.5,1720440974321,../sampling/generated_level/generated_level_1720440974321_12.txt,2.7977540333207367,0.84,1,1.0,64.190355,10,1.0,0.97
no pipes no enemies little blocks low elevation,1400,2.5,1720441081347,../sampling/generated_level/generated_level_1720441081347_13.txt,0.7134762288046742,0.21,1,1.0,63.30409999999999,10,1.0,0.84
no pipes no enemies little blocks low elevation,1400,2.5,1720441188453,../sampling/generated_level/generated_level_1720441188453_14.txt,1.900910193197656,0.57,-100,0.0,13.1479065,-10,0.0,0.11
no pipes no enemies little blocks low elevation,1400,2.5,1720441295671,../sampling/generated_level/generated_level_1720441295671_15.txt,2.50677857590595,0.75,1,1.0,84.79546,-10,0.0,0.75
no pipes no enemies little blocks low elevation,1400,2.5,1720441402758,../sampling/generated_level/generated_level_1720441402758_16.txt,0.3627785470824753,0.11,-100,0.0,110.6315,10,1.0,0.22
no pipes no enemies little blocks low elevation,1400,2.5,1720441509899,../sampling/generated_level/generated_level_1720441509899_17.txt,0.0338973970052121,0.01,1,1.0,87.7153,10,1.0,0.8
no pipes no enemies little blocks low elevation,1400,2.5,1720441616968,../sampling/generated_level/generated_level_1720441616968_18.txt,2.986612997500416,0.9,-100,0.0,3.160611915,-30,0.0,0.18
no pipes no enemies little blocks low elevation,1400,2.5,1720441724054,../sampling/generated_level/generated_level_1720441724054_19.txt,1.15814437666072,0.35,1,1.0,71.76132499999999,10,1.0,0.87
no pipes no enemies little blocks high elevation,1400,2.5,1720441834086,../sampling/generated_level/generated_level_1720441834086_0.txt,2.57612406339281,0.77,-100,0.0,58.487845,-10,0.0,0.15
no pipes no enemies little blocks high elevation,1400,2.5,1720441941110,../sampling/generated_level/generated_level_1720441941110_1.txt,1.5931390622295662,0.48,1,1.0,99.30388,10,1.0,0.9
no pipes no enemies little blocks high elevation,1400,2.5,1720442048180,../sampling/generated_level/generated_level_1720442048180_2.txt,1.2371221738246918,0.37,1,1.0,98.99864,10,1.0,0.87
no pipes no enemies little blocks high elevation,1400,2.5,1720442155415,../sampling/generated_level/generated_level_1720442155415_3.txt,3.0185089171317583,1.0,1,1.0,81.43569500000001,-20,0.0,0.8
no pipes no enemies little blocks high elevation,1400,2.5,1720442262576,../sampling/generated_level/generated_level_1720442262576_4.txt,3.2884665005591565,1.0,1,1.0,87.08248,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720442369609,../sampling/generated_level/generated_level_1720442369609_5.txt,-1.0,0.0,1,1.0,109.184865,10,1.0,0.8
no pipes no enemies little blocks high elevation,1400,2.5,1720442476636,../sampling/generated_level/generated_level_1720442476636_6.txt,2.1699250014423126,0.65,1,1.0,102.736705,-10,0.0,0.73
no pipes no enemies little blocks high elevation,1400,2.5,1720442583780,../sampling/generated_level/generated_level_1720442583780_7.txt,3.182241489142787,1.0,1,1.0,93.17066,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720442690899,../sampling/generated_level/generated_level_1720442690899_8.txt,0.374675113062044,0.11,1,1.0,75.87607,10,1.0,0.82
no pipes no enemies little blocks high elevation,1400,2.5,1720442798769,../sampling/generated_level/generated_level_1720442798769_9.txt,2.5813481087529557,0.77,-100,0.0,92.42306,10,1.0,0.35
no pipes no enemies little blocks high elevation,1400,2.5,1720442905928,../sampling/generated_level/generated_level_1720442905928_10.txt,1.5,0.45,1,1.0,63.68938,10,1.0,0.89
no pipes no enemies little blocks high elevation,1400,2.5,1720443013079,../sampling/generated_level/generated_level_1720443013079_11.txt,2.3317802088725634,0.7,-100,0.0,74.89329,10,1.0,0.34
no pipes no enemies little blocks high elevation,1400,2.5,1720443120104,../sampling/generated_level/generated_level_1720443120104_12.txt,1.6258145836939115,0.49,-100,0.0,0.0,10,1.0,0.3
no pipes no enemies little blocks high elevation,1400,2.5,1720443227141,../sampling/generated_level/generated_level_1720443227141_13.txt,3.943308683772793,1.0,-100,0.0,68.8359375,10,1.0,0.4
no pipes no enemies little blocks high elevation,1400,2.5,1720443334175,../sampling/generated_level/generated_level_1720443334175_14.txt,1.699325743219107,0.51,1,1.0,83.784595,10,1.0,0.9
no pipes no enemies little blocks high elevation,1400,2.5,1720443441408,../sampling/generated_level/generated_level_1720443441408_15.txt,2.781297081898252,0.83,1,1.0,146.37371,10,1.0,0.97
no pipes no enemies little blocks high elevation,1400,2.5,1720443548485,../sampling/generated_level/generated_level_1720443548485_16.txt,2.259553712917439,0.68,1,1.0,92.772185,10,1.0,0.94
no pipes no enemies little blocks high elevation,1400,2.5,1720443655644,../sampling/generated_level/generated_level_1720443655644_17.txt,0.6682958340544896,0.2,1,1.0,70.77337999999999,10,1.0,0.84
no pipes no enemies little blocks high elevation,1400,2.5,1720443762846,../sampling/generated_level/generated_level_1720443762846_18.txt,3.416097816039603,1.0,1,1.0,67.40495,10,1.0,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1720443869988,../sampling/generated_level/generated_level_1720443869988_19.txt,3.4181270390846508,1.0,1,1.0,87.274305,-10,0.0,0.8
no pipes no enemies some blocks low elevation,1400,2.5,1720443980094,../sampling/generated_level/generated_level_1720443980094_0.txt,3.383891040458113,1.0,1,1.0,87.61713999999999,10,1.0,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1720444086959,../sampling/generated_level/generated_level_1720444086959_1.txt,1.010110787185449,0.3,1,1.0,77.167275,10,1.0,0.86
no pipes no enemies some blocks low elevation,1400,2.5,1720444193967,../sampling/generated_level/generated_level_1720444193967_2.txt,-0.1324044685984323,0.0,1,1.0,92.92217,-20,0.0,0.6
no pipes no enemies some blocks low elevation,1400,2.5,1720444300956,../sampling/generated_level/generated_level_1720444300956_3.txt,3.421965619553135,1.0,1,1.0,76.27014999999999,10,1.0,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1720444407925,../sampling/generated_level/generated_level_1720444407925_4.txt,2.753790904404576,0.83,1,1.0,87.7973,10,1.0,0.97
no pipes no enemies some blocks low elevation,1400,2.5,1720444515045,../sampling/generated_level/generated_level_1720444515045_5.txt,2.4414889340892088,0.73,1,1.0,87.61793,-20,0.0,0.75
