prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726884395983,../sampling/generated_level/generated_level_1726884395983_0.txt,2.4334609814434396,0.73,1,1.0,84.504185,-20,0.0
no pipes no enemies little blocks high elevation,1400,2.5,1726884395983,../sampling/generated_level/generated_level_1726884395983_1.txt,0,0.0,-100,0.0,75.07718,10,1.0
no pipes no enemies little blocks low elevation,1400,2.5,1726884395983,../sampling/generated_level/generated_level_1726884395983_2.txt,2.8668666056010115,0.86,1,1.0,117.456665,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726884395983,../sampling/generated_level/generated_level_1726884395983_3.txt,0.49570024697404147,0.15,1,1.0,103.13104,10,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1726884395984,../sampling/generated_level/generated_level_1726884395984_4.txt,2.001385839527939,0.6,1,1.0,87.74106,10,1.0
no pipes no enemies some blocks high elevation,1400,2.5,1726884395984,../sampling/generated_level/generated_level_1726884395984_5.txt,1.9143680794885478,0.57,-100,0.0,59.31015,10,1.0
no pipes no enemies many blocks low elevation,1400,2.5,1726884395984,../sampling/generated_level/generated_level_1726884395984_6.txt,0.510729454436412,0.15,1,1.0,94.565075,-60,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726884395984,../sampling/generated_level/generated_level_1726884395984_7.txt,-0.2439677898053777,0,1,1.0,101.93947999999999,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726884463302,../sampling/generated_level/generated_level_1726884463302_8.txt,2.8299813433456222,0.85,1,1.0,87.41793000000001,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_9.txt,3.444372578390327,1.0,-100,0.0,110.63655999999999,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_10.txt,3.423067006256801,1.0,-100,0.0,0.0,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_11.txt,3.094915958623622,1.0,-100,0.0,0.0,10,1.0
no pipes little enemies some blocks low elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_12.txt,0.35107733882148917,0.11,-100,0.0,16.435862,10,1.0
no pipes little enemies some blocks high elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_13.txt,3.2411420817934764,1.0,-100,0.0,70.17338,-60,0.0
no pipes little enemies many blocks low elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_14.txt,1.1918109811330975,0.36,-100,0.0,0.0,10,1.0
no pipes little enemies many blocks high elevation,1400,2.5,1726884463303,../sampling/generated_level/generated_level_1726884463303_15.txt,0.5595965796585621,0.17,-100,0.0,57.238859999999995,-20,0.0
no pipes some enemies little blocks low elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_16.txt,2.975729879944041,0.89,1,1.0,78.8781,-20,0.0
no pipes some enemies little blocks high elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_17.txt,2.6997795821525568,0.81,1,1.0,106.52341,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_18.txt,3.5369986800319055,1.0,1,1.0,67.81671,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_19.txt,2.9950204440526047,0.9,-100,0.0,70.660795,10,1.0
no pipes some enemies some blocks low elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_20.txt,3.61191512385862,1.0,1,1.0,132.776005,10,1.0
no pipes some enemies some blocks high elevation,1400,2.5,1726884530841,../sampling/generated_level/generated_level_1726884530841_21.txt,1.8733392686558057,0.56,1,1.0,97.67148,-30,0.0
no pipes some enemies many blocks low elevation,1400,2.5,1726884530842,../sampling/generated_level/generated_level_1726884530842_22.txt,3.437840554382625,1.0,1,1.0,133.75896999999998,10,1.0
no pipes some enemies many blocks high elevation,1400,2.5,1726884530842,../sampling/generated_level/generated_level_1726884530842_23.txt,3.0495266474688307,1.0,1,1.0,63.999815,10,1.0
no pipes many enemies little blocks low elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_24.txt,3.384070272784116,1.0,1,1.0,121.89995499999999,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_25.txt,3.589569768015488,1.0,-100,0.0,73.917,-30,0.0
no pipes many enemies little blocks low elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_26.txt,2.498357004101387,0.75,-100,0.0,0.0,10,1.0
no pipes many enemies little blocks high elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_27.txt,3.899119280160307,1.0,-100,0.0,72.14799000000001,-10,0.0
no pipes many enemies some blocks low elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_28.txt,0.4944495495529211,0.15,-100,0.0,60.917405,-60,0.0
no pipes many enemies some blocks high elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_29.txt,1.4480686824153595,0.43,1,1.0,64.7954225,10,1.0
no pipes many enemies many blocks low elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_30.txt,1.259858869965183,0.38,1,1.0,64.50596,-20,0.0
no pipes many enemies many blocks high elevation,1400,2.5,1726884598565,../sampling/generated_level/generated_level_1726884598565_31.txt,2.4121645723631304,0.72,1,1.0,193.06558,10,1.0
little pipes no enemies little blocks low elevation,1400,2.5,1726884666522,../sampling/generated_level/generated_level_1726884666522_32.txt,2.8078966082302843,0.84,-100,0.0,0.0,-10,0.0
little pipes no enemies little blocks high elevation,1400,2.5,1726884666523,../sampling/generated_level/generated_level_1726884666523_33.txt,3.7696954479612925,1.0,1,1.0,101.67222,-30,0.0
little pipes no enemies some blocks low elevation,1400,2.5,1726884666523,../sampling/generated_level/generated_level_1726884666523_34.txt,3.1042028808840945,1.0,1,1.0,87.70124000000001,-10,0.0
little pipes no enemies some blocks high elevation,1400,2.5,1726884666523,../sampling/generated_level/generated_level_1726884666523_35.txt,1.7756945190424989,0.53,-100,0.0,88.302885,10,1.0
