prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_0.txt,1.188541585501092,0.36,1,1.0,86.01181500000001,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_1.txt,1.6107258663849406,0.48,1,1.0,104.42445500000001,-10,0.0
no pipes no enemies little blocks low elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_2.txt,3.0634580826010196,1.0,1,1.0,76.70533499999999,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_3.txt,2.9270055082459407,0.88,1,1.0,101.47885500000001,-10,0.0
no pipes no enemies some blocks low elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_4.txt,2.5829490341076746,0.77,1,1.0,87.058925,10,1.0
no pipes no enemies some blocks high elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_5.txt,0.8282460123748834,0.25,-100,0.0,0.0,-10,0.0
no pipes no enemies many blocks low elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_6.txt,-0.16703552898663765,0,-100,0.0,96.345285,-20,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726932837065,../sampling/generated_level/generated_level_1726932837065_7.txt,3.1470595431013884,1.0,-100,0.0,43.247403,-10,0.0
no pipes little enemies little blocks low elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_8.txt,3.809121259012133,1.0,1,1.0,92.97967,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_9.txt,2.9179238895379602,0.88,1,1.0,99.496975,-10,0.0
no pipes little enemies little blocks low elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_10.txt,3.1622122437738547,1.0,1,1.0,87.838635,-20,0.0
no pipes little enemies little blocks high elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_11.txt,2.9151195215032732,0.87,1,1.0,69.774145,10,1.0
no pipes little enemies some blocks low elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_12.txt,1.250013801100266,0.38,1,1.0,70.109015,10,1.0
no pipes little enemies some blocks high elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_13.txt,3.6224002039875223,1.0,1,1.0,93.861475,10,1.0
no pipes little enemies many blocks low elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_14.txt,0.5629409380504864,0.17,1,1.0,63.999815,-30,0.0
no pipes little enemies many blocks high elevation,1400,2.5,1726932904568,../sampling/generated_level/generated_level_1726932904568_15.txt,-0.24336553378600334,0,-100,0.0,21.6381635,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726932972600,../sampling/generated_level/generated_level_1726932972600_16.txt,1.4303620787567763,0.43,-100,0.0,0.0,-10,0.0
no pipes some enemies little blocks high elevation,1400,2.5,1726932972601,../sampling/generated_level/generated_level_1726932972601_17.txt,3.3671311703269176,1.0,-100,0.0,49.667482,-20,0.0
