prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,1400,2.5,1726786239288,../sampling/generated_level/generated_level_1726786239288_0.txt,1.4863564504401419,0.45,1,1.0,110.517615,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_1.txt,3.9530065787697315,1.0,-100,0.0,53.3062975,-10,0.0
no pipes no enemies little blocks low elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_2.txt,0.8725562489182657,0.26,1,1.0,75.304835,10,1.0
no pipes no enemies little blocks high elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_3.txt,2.3472395187247117,0.7,1,1.0,100.61621,10,1.0
no pipes no enemies some blocks low elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_4.txt,1.8702250555531459,0.56,1,1.0,68.94699,-60,0.0
no pipes no enemies some blocks high elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_5.txt,3.6927063556620476,1.0,1,1.0,102.227545,-10,0.0
no pipes no enemies many blocks low elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_6.txt,0.36731647829955116,0.11,-100,0.0,82.799,-20,0.0
no pipes no enemies many blocks high elevation,1400,2.5,1726786239289,../sampling/generated_level/generated_level_1726786239289_7.txt,1.765152856598882,0.53,-100,0.0,63.119577,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726786305844,../sampling/generated_level/generated_level_1726786305844_8.txt,3.151222929878979,1.0,1,1.0,87.580275,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_9.txt,3.8478444094673736,1.0,1,1.0,86.12343,10,1.0
no pipes little enemies little blocks low elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_10.txt,3.023125686268778,1.0,-100,0.0,63.90596,10,1.0
no pipes little enemies little blocks high elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_11.txt,3.382388544174986,1.0,1,1.0,87.78468,10,1.0
no pipes little enemies some blocks low elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_12.txt,3.1536407458267997,1.0,1,1.0,63.919577,10,1.0
no pipes little enemies some blocks high elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_13.txt,3.945749441852068,1.0,1,1.0,102.14647000000001,-20,0.0
no pipes little enemies many blocks low elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_14.txt,0.8197817618440664,0.25,1,1.0,65.455455,10,1.0
no pipes little enemies many blocks high elevation,1400,2.5,1726786305845,../sampling/generated_level/generated_level_1726786305845_15.txt,1.1808371545036371,0.35,-100,0.0,0.0,-30,0.0
no pipes some enemies little blocks low elevation,1400,2.5,1726786372668,../sampling/generated_level/generated_level_1726786372668_16.txt,3.8024043798517067,1.0,1,1.0,80.26065,10,1.0
no pipes some enemies little blocks high elevation,1400,2.5,1726786372668,../sampling/generated_level/generated_level_1726786372668_17.txt,1.057650987150148,0.32,1,1.0,87.01793,10,1.0
no pipes some enemies little blocks low elevation,1400,2.5,1726786372668,../sampling/generated_level/generated_level_1726786372668_18.txt,2.3303789771597017,0.7,1,1.0,81.58711000000001,10,1.0
