prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
no pipes no enemies little blocks low elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_0.txt,2.469059842878941,0.74,-100,0.0,28.593175,10,1.0
no pipes no enemies little blocks high elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_1.txt,2.882989547073285,0.86,1,1.0,88.167035,10,1.0
no pipes no enemies little blocks low elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_2.txt,-0.136879431433369,0,1,1.0,56.003645,10,1.0
no pipes no enemies little blocks high elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_3.txt,0.2777557001282589,0.08,1,1.0,99.28301,-10,0.0
no pipes no enemies some blocks low elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_4.txt,2.2109467307744373,0.66,-100,0.0,0.0,-10,0.0
no pipes no enemies some blocks high elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_5.txt,-1.0,0,1,1.0,84.71985000000001,10,1.0
no pipes no enemies many blocks low elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_6.txt,1.8674808620172005,0.56,1,1.0,74.617195,10,1.0
no pipes no enemies many blocks high elevation,700,2.7,1725657673686,../sampling/generated_level/generated_level_1725657673686_7.txt,1.8907367528711316,0.57,1,1.0,59.9636675,-60,0.0
no pipes little enemies little blocks low elevation,700,2.7,1725657695345,../sampling/generated_level/generated_level_1725657695345_8.txt,2.6555450552125714,0.8,1,1.0,63.58822,-10,0.0
no pipes little enemies little blocks high elevation,700,2.7,1725657695345,../sampling/generated_level/generated_level_1725657695345_9.txt,1.5,0.45,-100,0.0,71.560135,10,1.0
no pipes little enemies little blocks low elevation,700,2.7,1725657695345,../sampling/generated_level/generated_level_1725657695345_10.txt,3.6179767551240154,1.0,1,1.0,57.63369,10,1.0
no pipes little enemies little blocks high elevation,700,2.7,1725657695345,../sampling/generated_level/generated_level_1725657695345_11.txt,2.735483607673973,0.82,1,1.0,63.789015,10,1.0
