prompt,steps,temperature,timestamp,level_file_path,shannon_entropy,normalized_entropy,playability,normalized_playability,difficulty,aesthetic,normalized_aesthetic
little pipes no enemies many blocks low elevation,700,2.7,1727206018730,../sampling/generated_level/generated_level_1727206018730_36.txt,1.5033252202197436,0.45,-100,0.0,86.17359499999999,-10,0.0
little pipes no enemies many blocks high elevation,700,2.7,1727206018730,../sampling/generated_level/generated_level_1727206018730_37.txt,-0.0032102733494512314,0,-100,0.0,28.985107999999997,-10,0.0
little pipes little enemies little blocks low elevation,700,2.7,1727206018730,../sampling/generated_level/generated_level_1727206018730_38.txt,3.6068391435681075,1.0,1,1.0,51.681270000000005,10,1.0
little pipes little enemies little blocks high elevation,700,2.7,1727206018730,../sampling/generated_level/generated_level_1727206018730_39.txt,3.554580645403001,1.0,-100,0.0,0.2,10,1.0
little pipes little enemies some blocks low elevation,700,2.7,1727206040525,../sampling/generated_level/generated_level_1727206040525_40.txt,3.6077601856320674,1.0,1,1.0,86.36205,10,1.0
little pipes little enemies some blocks high elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_41.txt,3.150994947498245,1.0,1,1.0,73.13522499999999,-30,0.0
little pipes little enemies many blocks low elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_42.txt,2.114042724554634,0.63,1,1.0,70.72761,-50,0.0
little pipes little enemies many blocks high elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_43.txt,0.15822810043512092,0.05,-100,0.0,30.768095,-20,0.0
little pipes some enemies little blocks low elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_44.txt,1.9227737383074786,0.58,-100,0.0,55.52476,-30,0.0
little pipes some enemies little blocks high elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_45.txt,3.6064971921579225,1.0,-100,0.0,0.0,-10,0.0
little pipes some enemies some blocks low elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_46.txt,2.6148251531494933,0.78,1,1.0,84.67255999999999,-10,0.0
little pipes some enemies some blocks high elevation,700,2.7,1727206040526,../sampling/generated_level/generated_level_1727206040526_47.txt,4.229176613891708,1.0,-100,0.0,114.2001,-20,0.0
little pipes some enemies many blocks low elevation,700,2.7,1727206062385,../sampling/generated_level/generated_level_1727206062385_48.txt,1.6500699982839195,0.5,1,1.0,81.08485499999999,-10,0.0
little pipes some enemies many blocks high elevation,700,2.7,1727206062385,../sampling/generated_level/generated_level_1727206062385_49.txt,0.09097853089176933,0.03,1,1.0,53.120923000000005,10,1.0
little pipes many enemies little blocks low elevation,700,2.7,1727206062385,../sampling/generated_level/generated_level_1727206062385_50.txt,3.204428865943431,1.0,1,1.0,54.692453,-10,0.0
little pipes many enemies little blocks high elevation,700,2.7,1727206062385,../sampling/generated_level/generated_level_1727206062385_51.txt,3.816814838679336,1.0,-100,0.0,68.39348,10,1.0
little pipes many enemies some blocks low elevation,700,2.7,1727206062386,../sampling/generated_level/generated_level_1727206062386_52.txt,1.8490639367128494,0.55,1,1.0,87.08793500000002,-10,0.0
little pipes many enemies some blocks high elevation,700,2.7,1727206062386,../sampling/generated_level/generated_level_1727206062386_53.txt,2.502994237872457,0.75,1,1.0,192.88506,10,1.0
little pipes many enemies many blocks low elevation,700,2.7,1727206062386,../sampling/generated_level/generated_level_1727206062386_54.txt,1.0512323825439904,0.32,1,1.0,46.17904,-70,0.0
little pipes many enemies many blocks high elevation,700,2.7,1727206062386,../sampling/generated_level/generated_level_1727206062386_55.txt,1.828288981153749,0.55,-100,0.0,0.0,10,1.0
some pipes no enemies little blocks low elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_56.txt,1.591089012758651,0.48,1,1.0,64.37683700000001,10,1.0
some pipes no enemies little blocks high elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_57.txt,1.9025195206696872,0.57,1,1.0,91.44206,-30,0.0
some pipes no enemies some blocks low elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_58.txt,2.8014360113230303,0.84,-100,0.0,35.5667,-10,0.0
some pipes no enemies some blocks high elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_59.txt,0.8359540997147918,0.25,1,1.0,73.627235,10,1.0
some pipes no enemies many blocks low elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_60.txt,3.00731089858614,1.0,1,1.0,59.011329999999994,-20,0.0
some pipes no enemies many blocks high elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_61.txt,2.148421711826335,0.64,1,1.0,84.074305,10,1.0
some pipes little enemies little blocks low elevation,700,2.7,1727206084205,../sampling/generated_level/generated_level_1727206084205_62.txt,1.796919371883706,0.54,1,1.0,109.30807,10,1.0
